# Species	Genes	Alg.-Conn.	streptomyces_proteins.faa	streptomyces_proteins2.faa
2	3	0.33	Azures	Coelicolor,avermitilis
2	3	0.33	Griseus	Tricolor,Lividans
2	2	1	Platensis	Platensis
2	2	1	Xanthochromogenes	Venezuelae
