# Species	Genes	Alg.-Conn.	streptomyces_phage_proteins.faa	streptomyces_proteins.faa
2	19	0.157	Hydra,SunsetPointe,Aaronocolus,BryanRecycles,Izzy,Jash,Leviticus,Nerdos,Bovely,Unstoppable,Legacy,Indigo,Caliburn,Eddasa,Nanodon	Griseus,Tricolor,Lividans,avermitilis
2	10	0.173	Nabi,Rana,Lorelei,Asten,Ejemplo,TuanPN,Yasdnil	bicolor,griseofucus,toxytricini
2	4	0.25	Emma1919,Kenrey,Phredrick	Azures
